""
"Comparison of State and Local Government Spending and Debt"
"in the United States"
"Fiscal Year 2020"
"Amounts in $ billion"
"State","State & Local Spending","","State & Local Debt","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","52.7","g","0.0","","239.5","g","1.5","g","4.9","g"
"Alaska","17.3","g","0.0","","56.5","g","1.7","g","0.7","g"
"Arizona","66.7","g","0.0","","381.8","g","2.0","g","7.4","g"
"Arkansas","28.3","g","0.0","","137.7","g","1.2","g","3.0","g"
"California","672.3","g","0.0","","3,262.4","g","1.7","g","39.6","g"
"Colorado","71.1","g","0.0","","406.6","g","2.3","g","5.8","g"
"Connecticut","43.7","g","0.0","","295.2","g","1.1","g","3.6","g"
"Delaware","12.7","g","0.0","","77.5","g","0.7","g","1.0","g"
"District of Columbia","20.2","g","0.0","","151.4","g","1.1","g","0.7","g"
"Florida","203.9","g","0.0","","1,140.5","g","1.8","g","21.7","g"
"Georgia","97.2","g","0.0","","638.7","g","1.3","g","10.7","g"
"Hawaii","18.8","g","0.0","","100.6","g","0.8","g","1.4","g"
"Idaho","15.7","g","0.0","","84.3","g","1.8","g","1.8","g"
"Illinois","159.4","g","0.0","","927.6","g","1.1","g","12.6","g"
"Indiana","63.9","g","0.0","","388.0","g","0.7","g","6.8","g"
"Iowa","39.0","g","0.0","","200.3","g","0.7","g","3.2","g"
"Kansas","31.4","g","0.0","","178.2","g","0.7","g","2.9","g"
"Kentucky","48.9","g","0.0","","221.3","g","0.8","g","4.5","g"
"Louisiana","51.7","g","0.0","","271.1","g","0.9","g","4.6","g"
"Maine","14.1","g","0.0","","70.0","g","1.3","g","1.3","g"
"Maryland","75.9","g","0.0","","443.2","g","1.1","g","6.1","g"
"Massachusetts","103.0","g","0.0","","619.0","g","1.6","g","6.9","g"
"Michigan","109.6","g","0.0","","557.0","g","0.6","g","10.0","g"
"Minnesota","78.8","g","0.0","","392.8","g","1.0","g","5.7","g"
"Mississippi","30.8","g","0.0","","122.6","g","1.0","g","3.0","g"
"Missouri","60.5","g","0.0","","344.2","g","1.4","g","6.2","g"
"Montana","11.8","g","0.0","","53.9","g","1.4","g","1.1","g"
"Nebraska","24.1","g","0.0","","130.4","g","0.5","g","1.9","g"
"Nevada","30.5","g","0.0","","184.9","g","1.9","g","3.1","g"
"New Hampshire","13.4","g","0.0","","92.2","g","1.8","g","1.4","g"
"New Jersey","114.6","g","0.0","","666.7","g","1.0","g","8.9","g"
"New Mexico","26.6","g","0.0","","107.5","g","2.4","g","2.1","g"
"New York","401.4","g","0.0","","1,791.7","g","1.2","g","19.4","g"
"North Carolina","104.7","g","0.0","","609.7","g","1.5","g","10.6","g"
"North Dakota","10.0","g","0.0","","58.3","g","1.5","g","0.8","g"
"Ohio","139.1","g","0.0","","720.8","g","1.2","g","11.7","g"
"Oklahoma","36.0","g","0.0","","210.7","g","1.6","g","4.0","g"
"Oregon","62.4","g","0.0","","262.0","g","1.8","g","4.3","g"
"Pennsylvania","157.0","g","0.0","","842.1","g","1.5","g","12.8","g"
"Rhode Island","13.9","g","0.0","","66.2","g","1.7","g","1.1","g"
"South Carolina","55.7","g","0.0","","257.1","g","2.0","g","5.2","g"
"South Dakota","8.6","g","0.0","","54.7","g","0.6","g","0.9","g"
"Tennessee","66.8","g","0.0","","394.7","g","1.5","g","6.9","g"
"Texas","288.1","g","0.0","","1,962.4","g","2.8","g","29.4","g"
"All states combined","4,110.2","g","0.0","","22,210.9","b","1.5","b","330.6","e"
"Utah","36.6","g","0.0","","197.3","g","2.4","g","3.3","g"
"Vermont","9.1","g","0.0","","36.2","g","1.6","g","0.6","g"
"Virginia","92.6","g","0.0","","574.1","g","1.3","g","8.6","g"
"Washington","106.2","g","0.0","","628.3","g","2.4","g","7.7","g"
"West Virginia","18.6","g","0.0","","79.6","g","0.7","g","1.8","g"
"Wisconsin","67.2","g","0.0","","358.3","g","1.0","g","5.8","g"
"Wyoming","9.9","g","0.0","","40.5","g","2.1","g","0.6","g"

"Legend:"
"g - 'guesstimated' projection by usgovernmentspending.com"
"b - spending in US budget"
"e - out-year estimate in US budget"
